offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks,tasks_per_core
ga,slack,ga+slack,8,0.95,4,16,7.59999,0.6029492169982404,0.009267374000046402,False,100,47,0.06,0.8723404255319149,0.3197278911564626,1.0,0.12829330055348925,0.12829330055348925,0.12829330055348925,33491.818181818184,False,7.270419761983473,36.35209880991737,36.35371900826446,30.400000000000002,1.0,4.294012351239671,0.99993625,97.5,180,200000,2
ga,slack,ga+slack,8,0.95,5,16,7.599985,0.6904181359986978,0.010013082001023577,False,138,38,0.06521739130434782,0.8421052631578947,0.23295454545454544,1.0,0.16674203251872677,0.16674203251872677,0.16674203251872677,34809.92307692308,False,7.267507801652895,36.33753900826448,36.35371900826446,30.400000000000002,1.0,4.292192376033057,0.999494375,97.5,211,200000,2
ga,slack,ga+slack,8,0.95,6,16,7.59997,0.6199263840007916,0.007614563999595703,False,74,48,0.20270270270270271,0.8541666666666666,0.45901639344262296,1.0,0.14583333333333334,0.14583333333333334,0.14583333333333334,17756.222222222223,False,7.105686826446278,35.528434132231396,35.530578512396694,30.400000000000002,1.0,4.191054266528925,0.999915625,96.25,152,200000,2
ga,slack,ga+slack,8,0.95,7,16,7.599995,0.5856469319987809,0.00887215699913213,False,85,56,0.12941176470588237,0.875,0.425531914893617,1.0,0.125,0.125,0.125,32697.909090909092,False,7.106115702479338,35.530578512396694,35.530578512396694,30.400000000000002,1.0,4.191322314049586,1.0,96.25,174,200000,2
ga,slack,ga+slack,8,1.0,0,16,8.000015,0.5935608529998717,0.008860332998665399,False,100,51,0.08,0.8627450980392157,0.3443708609271523,1.0,0.13725490196078433,0.13725490196078433,0.13725490196078433,8149.25,False,7.6,38.0,38.0,30.400000000000002,1.0,4.500000000000002,1.0,100.0,179,200000,2
ga,slack,ga+slack,8,1.0,1,16,7.99986,0.6289116659991123,0.003433400001085829,False,73,11,0.1917808219178082,0.8181818181818182,0.27380952380952384,1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,27411.0,False,3.6339279008264462,36.33927900826446,36.35371900826446,30.400000000000002,1.0,4.292409876033057,0.99954875,97.5,94,100000,2
ga,slack,ga+slack,8,1.0,2,16,8.000015,0.6040767969989247,0.007741970999632031,False,100,40,0.26,0.925,0.45,1.0,0.09920280137088362,0.09920280137088362,0.09920280137088362,20219.6,False,7.270743801652888,36.35371900826444,36.35371900826446,30.400000000000002,1.0,4.29421487603306,1.0,97.5,158,200000,2
ga,slack,ga+slack,8,1.0,3,16,7.999965,0.6614309420001518,0.008807792999505182,False,115,40,0.10434782608695652,0.95,0.3225806451612903,1.0,0.05129477454698694,0.05129477454698694,0.05129477454698694,69146.875,False,7.600000000000001,38.00000000000001,38.0,30.400000000000002,1.0,4.500000000000001,1.0,100.0,183,200000,2
ga,slack,ga+slack,8,1.0,4,16,8.000035,0.7041681629998493,0.008939334999013226,False,100,47,0.19,0.9574468085106383,0.43537414965986393,1.0,0.05281926066295382,0.05281926066295382,0.05281926066295382,53778.0,False,7.599999999999998,37.99999999999999,38.0,30.400000000000002,1.0,4.500000000000002,1.0,100.0,173,200000,2
ga,slack,ga+slack,8,1.0,5,16,7.999915,0.7700644939995982,0.015281378999134176,False,138,38,0.21739130434782608,1.0,0.38636363636363635,1.0,0.0,0.0,0.0,114944.5,False,7.435371900826445,37.17685950413223,37.17685950413223,30.400000000000002,1.0,4.39710743801653,1.0,98.75,196,200000,2
